label	precision	recall	f1_score	support
String Box	1.0	1.0	1.0	1.0
Subestações e Alta Tensão	0.6	0.75	0.6666666666666666	8.0
Suporte e Fixação	0.0	0.0	0.0	1.0
Suporte para iluminação em poste	0.0	0.0	0.0	1.0
Suportes	1.0	1.0	1.0	1.0
Tampões e Grelhas	1.0	0.5	0.6666666666666666	2.0
Tela, cerca e gabião em aço	0.6	0.3333333333333333	0.42857142857142855	9.0
Telhas	0.7333333333333333	0.9565217391304348	0.8301886792452831	23.0
Terra vegetal (substrato)	0.5	1.0	0.6666666666666666	1.0
Terraplenagem	0.0	0.0	0.0	1.0
Textura de Parede	1.0	1.0	1.0	1.0
Tijolos e Blocos Estruturais	0.6666666666666666	0.875	0.7567567567567568	16.0
Todos os Pisos	0.0	0.0	0.0	1.0
Tomadas e Interruptores Específicos	0.0	0.0	0.0	1.0
Tomadas, interruptores e plugues	0.6423357664233577	0.567741935483871	0.6027397260273972	155.0
Torneiras	0.875	1.0	0.9333333333333333	7.0
Torneiras para Banheiro	1.0	1.0	1.0	1.0
Torneiras para Cozinha	0.0	0.0	0.0	1.0
Transformadores de Energia	0.9666666666666667	0.9666666666666667	0.9666666666666667	30.0
Transporte Vertical	0.0	0.0	0.0	1.0
Transportes	0.8461538461538461	1.0	0.9166666666666666	11.0
Tubos e Eletrodutos	0.8082191780821918	1.0	0.8939393939393939	59.0
Tubos e conexões	0.0	0.0	0.0	4.0
Tubos e conexões industriais	0.6551724137931034	0.76	0.7037037037037037	25.0
Tubos e conexões para Gases Medicinais	1.0	0.35714285714285715	0.5263157894736842	14.0
Tubulação Defofo	1.0	1.0	1.0	1.0
Usina de Asfalto	0.6666666666666666	1.0	0.8	4.0
Usina de Solo	0.0	0.0	0.0	1.0
Utilidades Domésticas	0.0	0.0	0.0	1.0
Vasos Sanitários	0.0	0.0	0.0	1.0
Vedação e Impermeabilização	0.0	0.0	0.0	2.0
Vegetação	1.0	0.3333333333333333	0.5	3.0
Verniz e Solvente	0.7407407407407407	0.9302325581395349	0.8247422680412371	43.0
Veículos de transporte	0.0	0.0	0.0	1.0
Vibroacabadoras	1.0	1.0	1.0	1.0
Vidros	1.0	0.75	0.8571428571428571	8.0
Vidros para Sacadas	1.0	1.0	1.0	2.0
maquinas pesadas	0.8	0.8	0.8	5.0
Água Fria	0.47619047619047616	0.4	0.43478260869565216	25.0
Água Quente	0.5454545454545454	0.8571428571428571	0.6666666666666666	7.0
macro avg	0.5126106978344497	0.521391500081379	0.5021266498725884	3551.0
weighted avg	0.7097406870069316	0.7178259645170375	0.7030200373205271	3551.0
