Prod_Desc_norm,ocorrencias,exemplos,subcats
torneira de jardim 25mm x ø3 4,4,"[""Torneira de Jardim, 25mm x Ø3/4'"", ""Torneira de Jardim, 25mm x Ø3/4''""]",['Torneiras']
disjuntor 1 x 40a,4,['Disjuntor 1 x 40A'],['Proteções Elétricas']
disjuntor,4,['Disjuntor'],['Proteções Elétricas']
adaptador soldavel curto com bolsa e rosca dn25x3 4 pvc marrom soldavel conforme nbr 5648,4,"[""Adaptador Soldável Curto com Bolsa e Rosca, DN25x3/4'', PVC Marrom Soldável, conforme NBR 5648"", ""Adaptador Soldável Curto com Bolsa e Rosca, DN25x3/4', PVC Marrom Soldável, conforme NBR 5648""]","['Canos e Conexões Hidráulicas', 'Água Fria']"
aco,4,['Aço'],"['Aços para Construção', 'Perfis para Steel Frame']"
vergalhao de aco nervurado ca 50 16mm 12m,3,['Vergalhão de aço nervurado CA-50 16mm 12m'],"['Aços para Construção', 'Ferragens']"
tubo ppr pn25 ø25,3,['Tubo PPR PN25 Ø25'],['Canos e Conexões Hidráulicas']
aditivo impermeabilizante liquido para concretos e argamassas,3,"['ADITIVO IMPERMEABILIZANTE LÍQUIDO, PARA CONCRETOS E ARGAMASSAS']",['Argamassas']
dispenser porta papel toalha branco,3,['Dispenser Porta Papel Toalha branco'],['Acessórios para Banheiro']
disco de corte,3,['Disco de corte'],['Acessórios e Consumíveis para Ferramentas']
disco de corte fino abrasivo metal inox 4 1 2 ferramenta p cortes diversos,3,['Disco de Corte fino Abrasivo metal/inox 4 1/2 ferramenta p/ cortes diversos'],['Acessórios e Consumíveis para Ferramentas']
disjuntor din monofasico 10a,3,"['DISJUNTOR DIN MONOFÁSICO 10A', 'Disjuntor DIN monofásico 10A']",['Proteções Elétricas']
disjuntor din monofasico 25a,3,"['DISJUNTOR DIN MONOFÁSICO 25A', 'Disjuntor DIN monofásico 25A']",['Proteções Elétricas']
disjuntor din monofasico 32a,3,"['DISJUNTOR DIN MONOFÁSICO 32A', 'Disjuntor DIN monofásico 32A']",['Proteções Elétricas']
eletrocalha perfurada em aco galvanizado a fogo,3,['Eletrocalha perfurada em aço galvanizado a fogo'],['Eletrocalhas']
tubo de pvc rigido branco ø100 conforme nbr5688 linha serie normal,3,['Tubo de PVC Rígido Branco Ø100 conforme NBR5688 Linha Série Normal'],"['Tomadas, interruptores e plugues']"
tubo de pvc rigido branco ø150 conforme nbr5688 linha serie normal,3,['Tubo de PVC Rígido Branco Ø150 conforme NBR5688 Linha Série Normal'],"['Cabos e Fios Elétricos', 'Sanitário']"
