Prod_Desc_norm,ocorrencias,exemplos,subcats
lampada led bulbo com potencia maxima 6w 3000k bivolt,2,"['Lâmpada LED Bulbo com potência máxima 6W 3000K Bivolt', 'Lâmpada LED Bulbo com potência máxima 6W 3000K Bivolt.']",['Lâmpadas']
lampada led bulbo 9w bivolt branca 6500k e27,2,"['LÂMPADA - LED BULBO - 9W - BIVOLT - BRANCA - 6500K - E27', 'LÂMPADA - LED BULBO 9W BIVOLT BRANCA 6500K - E27']",['Lâmpadas']
lampada led bulbo 30w,2,['Lâmpada LED bulbo 30W'],['Lâmpadas']
lampada led bulbo 15w luz branca com base e 27 driver interno autovolt 100 240v 60hz luz branca com temperatura de cor de 6500k vida util minima de 25 000 horas e eficiencia luminosa minima de 87 lm w possui fluxo luminoso minimo de 1 311 lumen,2,"['Lâmpada LED Bulbo 15W (luz branca), com base E-27, driver interno autovolt (100–240V / 60Hz), luz branca com temperatura de cor de 6500K, vida útil mínima de 25.000 horas e eficiência luminosa mínima de 87 lm/W. Possui fluxo luminoso mínimo de 1.311 lúmen']",['Lâmpadas']
lampada led bulbo 15w bivolt 50 60hz amarela 3000k,2,['LÂMPADA - LED BULBO - 15W - BIVOLT 50/60HZ - AMARELA 3000K'],['Lâmpadas']
lampada led bulbo,2,"['Lâmpada LED, bulbo']",['Lâmpadas']
lampada led bolinha filamento g45 potencia de 4w base e27 driver interno autovolt 100 240v 60hz temperatura 2400k luz ambar vida util minima de 15 000h eficiencia luminosa minima 100lm w com fluxo luminoso minimo 400lm com dimensoes aproximadas,2,"['Lâmpada LED bolinha filamento G45, potência de 4W, base E27, driver interno autovolt, 100-240V/60hz, temperatura 2400k (luz ambar), vida útil mínima de 15.000h, eficiência luminosa mínima 100lm/W, com fluxo luminoso mínimo 400lm, com dimensões aproximadas']",['Lâmpadas']
lampada halogena com refletor corrente controlada luminosidade axial de 32000cd com diametro de 50 4 mm modelo 64339 b 105w 6 6 a para balizamento de aerodromo,2,"['LÂMPADA HALÓGENA COM  REFLETOR, CORRENTE  CONTROLADA, LUMINOSIDADE  AXIAL DE 32000CD, COM  DIÂMETRO DE 50,4 MM,  MODELO 64339-B 105W 6.6 A  PARA BALIZAMENTO DE  AERÓDROMO', 'LÂMPADA HALÓGENA COM REFLETOR, CORRENTE CONTROLADA, LUMINOSIDADE AXIAL DE 32000CD, COM DIÂMETRO DE 50,4 MM, MODELO 64339-B 105W 6.6 A PARA BALIZAMENTO DE AERÓDROMO']",['Lâmpadas']
lampada fluorescente compacta 85w,2,['Lâmpada fluorescente compacta 85W'],['Lâmpadas']
lampada fluorescente compacta 46w,2,['Lâmpada fluorescente compacta 46W'],['Lâmpadas']
lampada fluorescente compacta,2,['Lâmpada fluorescente compacta'],['Lâmpadas']
lampada bulbo led padrao e27 6w minimo de 800 lumens temperatura de cor 4000k 100 240v vida util minima de 25000h em conformidade com a nbr isso cie 8995 1 2013 e nbr 5410 nbr iec 60598 marcas de referencia philips osram stella jng e ledvanc,2,"['Lâmpada bulbo LED, padrão E27, 6W, mínimo de 800 lumens, temperatura de cor 4000K, 100-240V, vida útil mínima de 25000h. Em conformidade com a NBR ISSO/CIE 8995-1 2013 e NBR 5410 – NBR IEC 60598. Marcas de referência: PHILIPS, OSRAM, STELLA, JNG e LEDVANC']",['Lâmpadas']
lamina serra aco bimetal flex 24 dentes,2,"[""LAMINA SERRA ACO BIMETAL ''FLEX'' 24 DENTES""]",['Acessórios e Consumíveis para Ferramentas']
laje para fossa filtro anaerobio e sumidouro ø externo 1500mm,2,"['Laje para fossa, filtro anaeróbio e Sumidouro, Ø Externo 1500mm']",['Sanitário']
luminaria de emergencia branca com 30 leds bivolt potencia minima de 2w recarregavel,2,"['Luminária de emergência branca, com 30 LEDS, bivolt, potência mínima de 2W, recarregável.']",['Luminárias']
lona combate 4m preta larg 80 micras,2,['LONA COMBATE 4M PRETA LARG 80 MICRAS'],"['Lona, Papelão e Plástico Bolha']"
locacao banheiro quimico standard,2,['Locação - Banheiro Químico standard'],['Banheiro Comercial']
lixeira 30l fixar na parede,2,['Lixeira 30L - Fixar na Parede'],['Lixeiras de Calçada']
lixa massa grao 180,2,['LIXA MASSA GRAO 180'],['Acessórios e Consumíveis para Ferramentas']
lixa massa grao 120,2,['LIXA MASSA GRAO 120'],['Acessórios e Consumíveis para Ferramentas']
lavatorio com pedestal,2,['Lavatório com pedestal'],"['Pias e Lavatórios', 'Torneiras']"
lavadora de alta pressao,2,['Lavadora de alta pressão'],['Ferramentas para Jardim']
lavadora alta pressao minimo 2200w 220v,2,['LAVADORA ALTA PRESSÃO - MÍNIMO 2200W - 220V'],"['Ferramentas Elétricas/Bateria', 'Ferramentas para Jardim']"
lastro de brita ou rachao,2,['Lastro de brita ou rachão'],"['Areia, Pedra Brita, Gesso, Cal e Argila']"
lampada vapor de sodio alta pressao 70w,2,"['Lâmpada vapor de sódio alta pressão 70W', 'Lâmpada vapor de sódio alta pressão 70w']",['Lâmpadas']
lampada tubular led t8 10w luz branca com base g13 comprimento aproximado de 60 cm bivolt automatico 100 240 v 50 60 hz luz branca com temperatura de cor de 6500 k vida util minima de 25 000 horas e eficiencia luminosa de aproximadamente 90 lm,2,"['Lâmpada Tubular LED T8 10W (luz branca), com base G13, comprimento aproximado de 60 cm, bivolt automático (100–240 V / 50–60 Hz), luz branca com temperatura de cor de 6500 K, vida útil mínima de 25.000 horas e eficiência luminosa de aproximadamente 90 lm/']",['Lâmpadas']
lampada tubular led 120cm 18w,2,"['Lâmpada tubular LED 120cm – 18W', 'Lâmpada tubular led 120cm – 18w.']",['Lâmpadas']
lampada led tubular t8 65w luz branca com base g13 nao dimerizavel bivolt automatica 100 240v 60hz luz branca com temperatura de cor de 6500k vida util minima de 25 000 horas e eficiencia luminosa de 100 lm w possui fluxo luminoso de 6 500 lum,2,"['Lâmpada LED Tubular T8 65W (luz branca), com base G13, não dimerizável, bivolt automática (100–240V / 60Hz), luz branca com temperatura de cor de 6500K, vida útil mínima de 25.000 horas e eficiência luminosa de 100 lm/W. Possui fluxo luminoso de 6.500 lúm']",['Lâmpadas']
lampada led tubular 9w,2,"['Lâmpada LED tubular 9W', 'Lâmpada LED tubular 9w']",['Lâmpadas']
lampada led tubular 18w,2,"['Lâmpada LED tubular 18W', 'Lâmpada LED tubular 18w']",['Lâmpadas']
carretel fio cabo flex 750v 10 00mm preto,2,['(CARRETEL) FIO CABO FLEX 750V 10.00MM PRETO'],['Cabos e Fios Elétricos']
cap pvc soldavel 50mm,2,['Cap PVC soldável 50mm'],['Canos e Conexões Hidráulicas']
cap pvc soldavel 40mm,2,['Cap PVC soldável 40mm'],['Canos e Conexões Hidráulicas']
cap pvc soldavel 32mm,2,['Cap PVC soldável 32mm'],['Canos e Conexões Hidráulicas']
cap pvc soldavel 25mm,2,['Cap PVC soldável 25mm'],['Canos e Conexões Hidráulicas']
cap pvc soldavel 20mm,2,['Cap PVC soldável 20mm'],['Canos e Conexões Hidráulicas']
cantoneira metalica l 63 5 x 63 5 x 9 5 8 86 kg m,2,"['CANTONEIRA METÁLICA L 63,5 X 63,5 X 9,5 - 8,86 KG/M']",['Perfis e chapas em aço carbono']
luminaria led 40w,2,['Luminária LED 40w'],['Luminárias']
luminaria fechada para lampada ate 250w com braco curvo,2,['Luminária fechada para lâmpada até 250W com braço curvo'],['Lâmpadas']
luminaria de sobrepor em chapa de aco para 2 lampadas fluorescentes de 36 w perfil comercial,2,"['LUMINARIA DE SOBREPOR EM CHAPA DE ACO PARA 2 LAMPADAS FLUORESCENTES DE 36 W, PERFIL COMERCIAL']","['Luminárias', 'Lâmpadas']"
luminaria de sobrepor em chapa de aco para 2 lampadas fluorescentes de 36 w aletada completa lampadas e reator inclusos,2,"['LUMINARIA DE SOBREPOR EM CHAPA DE ACO PARA 2 LAMPADAS FLUORESCENTES DE *36* W, ALETADA, COMPLETA (LAMPADAS E REATOR INCLUSOS)', 'LUMINÁRIA DE SOBREPOR EM CHAPA DE AÇO PARA 2 LÂMPADAS FLUORESCENTES DE *36* W, ALETADA, COMPLETA (LÂMPADAS E REATOR INCLUSOS)']",['Lâmpadas']
luminaria de led para iluminacao publica fluxo luminoso minimo de 9 600 lumens potencia de ate 60 w,2,['Luminária de LED para iluminação pública. Fluxo luminoso mínimo de 9.600 lumens. Potência de até 60 W.'],['Luminárias']
luminaria de led para iluminacao publica fluxo luminoso minimo de 24 000 lumens potencia de ate 150 w,2,['Luminária de LED para iluminação pública. Fluxo luminoso mínimo de 24.000 lumens. Potência de até 150 W.'],['Luminárias']
luminaria de led para iluminacao publica fluxo luminoso minimo de 16 000 lumens potencia de ate 100 w,2,['Luminária de LED para iluminação pública. Fluxo luminoso mínimo de 16.000 lumens. Potência de até 100 W.'],['Luminárias']
luminaria de led para iluminacao publica de 138 w ate 180 w involucro em aluminio ou aco inox,2,"['LUMINARIA DE LED PARA ILUMINACAO PUBLICA, DE 138 W ATE 180 W, INVOLUCRO EM ALUMINIO OU ACO INOX', 'LUMINARIA DE LED PARA ILUMINACAO PUBLICA, DE 138 W ATE 180 W,INVOLUCRO EM ALUMINIO OU ACO INOX']",['Luminárias']
luminaria de emergencia led,2,['Luminária de emergência LED'],['Luminárias']
luminaria publica de led com potencia maxima de 100w,2,['Luminária publica de LED com Potência máxima de 100W'],['Luminárias']
luminaria publica de led 80w,2,['Luminária pública de LED 80W'],['Luminárias']
luminaria publica de led 60w,2,['Luminária pública de LED 60W'],['Luminárias']
luminaria publica de led 40w,2,['Luminária pública de LED 40W'],['Luminárias']
luminaria publica a led de 300w,2,['Luminária Pública a LED de 300W'],['Luminárias']
luminaria plafon painel led 30x30cm de sobrepor bivolt 4 000k potencia minima de 24w,2,"['Luminária plafon, painel LED 30x30cm, de sobrepor, bivolt, 4.000k, potência mínima de 24W.']",['Luminárias']
luminaria plafon painel led 30x30cm de embutir bivolt 4 000k potencia minima de 24w,2,"['Luminária plafon, painel LED 30x30cm, de embutir, bivolt, 4.000k, potência mínima de 24W.']",['Luminárias']
luminaria para iluminacao decorativa com corpo de aluminio e difusor em policarbonato transparente,2,['LUMINÁRIA PARA ILUMINAÇÃO DECORATIVA COM CORPO DE ALUMÍNIO E DIFUSOR EM POLICARBONATO TRANSPARENTE'],['Luminárias']
luminaria led 60w,2,['Luminária LED 60w'],['Luminárias']
chapa fina a36 3 04x 1200x6000mm,2,"['Chapa fina A36 3,04x 1200x6000mm']",['Insumos metálicos']
chapa eletrocalha lisa 150x100 3 metros chapa 22 com tampa,2,['CHAPA ELETROCALHA LISA 150X100 3 METROS CHAPA 22# COM TAMPA'],"['Calhas, Rufos e Algerosas']"
chapa de madeira compensada naval com cola fenolica e 6 mm de 1 60 x 2 20 m,2,"['CHAPA DE MADEIRA COMPENSADA NAVAL (COM COLA FENOLICA), E = 6 MM, DE *1,60 X 2,20* M', 'CHAPA DE MADEIRA COMPENSADA NAVAL (COM COLA FENOLICA), E=6 MM, DE 1,60 X 2,20 M']",['Chapas e Painéis']
chapa de madeira compensada naval com cola fenolica e 18 mm de 1 60 x 2 20 m,2,"['CHAPA DE MADEIRA COMPENSADA NAVAL (COM COLA FENOLICA), E = 18 MM, DE *1,60 X 2,20* M', 'CHAPA DE MADEIRA COMPENSADA NAVAL (COM COLA FENOLICA), E=18 MM, DE 1,60 X 2,20 M']",['Chapas e Painéis']
chapa de aco galvanizada bitola gsg 30 e 0 35 mm 2 80 kg m2,2,"['CHAPA DE ACO GALVANIZADA BITOLA GSG 30, E = 0,35 MM (2,80 KG/M2)']","['Barras, Tubos e Chapas Metalon', 'Perfis e chapas em aço carbono']"
chapa compensado vermelha 220x110cm 10mm,2,['CHAPA COMPENSADO VERMELHA 220X110CM 10MM'],['Chapas e Painéis']
carretel fio cabo flex 750v 4 00mm preto,2,['(CARRETEL) FIO CABO FLEX 750V 4.00MM PRETO'],['Cabos e Fios Elétricos']
cantoneira de aco carbono,2,['Cantoneira de aço carbono'],['Perfis e chapas em aço carbono']
cano tubo pvc rigido soldavel 50mm 1 mt,2,['CANO TUBO PVC RIGIDO SOLDAVEL 50MM 1 MT'],['Canos e Conexões Hidráulicas']
cano tubo pvc rigido soldavel 32mm 1 mt,2,['CANO TUBO PVC RIGIDO SOLDAVEL 32MM 1 MT'],['Canos e Conexões Hidráulicas']
cano tubo pvc rigido soldavel 25mm 1 mt,2,['CANO TUBO PVC RIGIDO SOLDAVEL 25MM 1 MT'],['Canos e Conexões Hidráulicas']
cano tubo pvc rigido soldavel 20mm 1 mt,2,['CANO TUBO PVC RIGIDO SOLDAVEL 20MM 1 MT'],['Canos e Conexões Hidráulicas']
cano tubo ppr 25mm,2,['CANO TUBO PPR 25MM'],['Canos e Conexões Hidráulicas']
cano tubo esgoto primario 50mm,2,['CANO TUBO ESGOTO PRIMARIO 50MM'],['Sanitário']
cano tubo esgoto primario 40mm,2,['CANO TUBO ESGOTO PRIMARIO 40MM'],['Sanitário']
cano tubo esgoto primario 100mm,2,['CANO TUBO ESGOTO PRIMARIO 100MM'],['Sanitário']
cano tubo cpvc aquatherm 22mm,2,['CANO TUBO CPVC AQUATHERM 22MM'],['Canos e Conexões Hidráulicas']
cano pvc 40mm soldavel barra 6m cota principal,2,['Cano PVC 40mm soldável barra 6m (Cota Principal)'],['Canos e Conexões Hidráulicas']
canaleta de sobrepor em pvc branco 20 x 10 x 2000mm com fita dupla face para fixacao,2,"['Canaleta de sobrepor em PVC branco 20 x 10 x 2000mm, com fita dupla face para fixação.']",['Condutos']
luminaria quadrada embutida corpo em aluminio com acabamento em pintura eletrostatica epoxi branca difusor em acrilico translucido driver incorporado 127 230v temperatura de cor 4000k para lampada 18w fluxo luminoso 1260 lm medida aproximada em mm,2,"['Luminária quadrada embutida, corpo em alumínio com acabamento em pintura eletrostática epóxi branca, difusor em acrílico translúcido, driver incorporado 127-230V, temperatura de cor 4000K. Para lâmpada 18W. Fluxo luminoso 1260 LM. Medida aproximada em mm:']",['Lâmpadas']
luminaria quadrada embutida corpo em aluminio com acabamento em pintura eletrostatica epoxi branca difusor em acrilico translucido driver incorporado 127 230v temperatura de cor 4000k para lampada 12w fluxo luminoso 840 lm medida aproximada em mm,2,"['Luminária quadrada embutida, corpo em alumínio com acabamento em pintura eletrostática epóxi branca, difusor em acrílico translúcido, driver incorporado 127-230V, temperatura de cor 4000K. Para lâmpada 12W. Fluxo luminoso: 840 LM. Medida aproximada em mm:']",['Lâmpadas']
luminaria publica de led com potencia maxima de 60w,2,['Luminária publica de LED com Potência máxima de 60W'],['Luminárias']
luminaria publica de led com potencia maxima de 200w,2,['Luminária publica de LED com Potência máxima de 200W'],['Luminárias']
martelo de unha,2,['MARTELO DE UNHA'],['Ferramentas Manuais']
manta termoplastica pead geomembrana texturizada em ambas as faces e 2 50 mm nbr 15352,2,"['MANTA TERMOPLASTICA, PEAD, GEOMEMBRANA TEXTURIZADA EM AMBAS AS FACES, E = 2,50 MM ( NBR 15352)', 'MANTA TERMOPLASTICA, PEAD, GEOMEMBRANA TEXTURIZADA EM AMBAS AS FACES, E = 2,50 MM (NBR 15352)']",['Barreiras de Proteção']
manta termoplastica pead geomembrana texturizada em ambas as faces e 2 00 mm nbr 15352,2,"['MANTA TERMOPLASTICA, PEAD, GEOMEMBRANA TEXTURIZADA EM AMBAS AS FACES, E = 2,00 MM ( NBR 15352)', 'MANTA TERMOPLASTICA, PEAD, GEOMEMBRANA TEXTURIZADA EM AMBAS AS FACES, E = 2,00 MM (NBR 15352)']",['Barreiras de Proteção']
manta termoplastica pead geomembrana texturizada em ambas as faces e 1 00 mm nbr 15352,2,"['MANTA TERMOPLASTICA, PEAD, GEOMEMBRANA TEXTURIZADA EM AMBAS AS FACES, E = 1,00 MM ( NBR 15352)', 'MANTA TERMOPLASTICA, PEAD, GEOMEMBRANA TEXTURIZADA EM AMBAS AS FACES, E = 1,00 MM (NBR 15352)']",['Barreiras de Proteção']
manta termoplastica pead geomembrana texturizada em ambas as faces e 0 80 mm nbr 15352,2,"['MANTA TERMOPLASTICA, PEAD, GEOMEMBRANA TEXTURIZADA EM AMBAS AS FACES, E = 0,80 MM ( NBR 15352)', 'MANTA TERMOPLASTICA, PEAD, GEOMEMBRANA TEXTURIZADA EM AMBAS AS FACES, E = 0,80 MM (NBR 15352)']",['Barreiras de Proteção']
manta termoplastica pead geomembrana texturizada em ambas as faces e 0 75 mm nbr 15352,2,"['MANTA TERMOPLASTICA, PEAD, GEOMEMBRANA TEXTURIZADA EM AMBAS AS FACES, E = 0,75 MM ( NBR 15352)', 'MANTA TERMOPLASTICA, PEAD, GEOMEMBRANA TEXTURIZADA EM AMBAS AS FACES, E = 0,75 MM (NBR 15352)']",['Barreiras de Proteção']
manta termoplastica pead geomembrana texturizada em ambas as faces e 0 50 mm nbr 15352,2,"['MANTA TERMOPLASTICA, PEAD, GEOMEMBRANA TEXTURIZADA EM AMBAS AS FACES, E = 0,50 MM ( NBR 15352)', 'MANTA TERMOPLASTICA, PEAD, GEOMEMBRANA TEXTURIZADA EM AMBAS AS FACES, E = 0,50 MM (NBR 15352)']",['Barreiras de Proteção']
manta termoplastica pead geomembrana lisa e 2 50 mm nbr 15352,2,"['MANTA TERMOPLASTICA, PEAD, GEOMEMBRANA LISA, E = 2,50 MM ( NBR 15352)', 'MANTA TERMOPLASTICA, PEAD, GEOMEMBRANA LISA, E = 2,50 MM (NBR 15352)']",['Barreiras de Proteção']
manta termoplastica pead geomembrana lisa e 1 50 mm nbr 15352,2,"['MANTA TERMOPLASTICA, PEAD, GEOMEMBRANA LISA, E = 1,50 MM ( NBR 15352)', 'MANTA TERMOPLASTICA, PEAD, GEOMEMBRANA LISA, E = 1,50 MM (NBR 15352)']",['Barreiras de Proteção']
manta termoplastica pead geomembrana lisa e 1 00 mm nbr 15352,2,"['MANTA TERMOPLASTICA, PEAD, GEOMEMBRANA LISA, E = 1,00 MM ( NBR 15352)', 'MANTA TERMOPLASTICA, PEAD, GEOMEMBRANA LISA, E = 1,00 MM (NBR 15352)']",['Barreiras de Proteção']
manta termoplastica pead geomembrana lisa e 0 80 mm nbr 15352,2,"['MANTA TERMOPLASTICA, PEAD, GEOMEMBRANA LISA, E = 0,80 MM ( NBR 15352)', 'MANTA TERMOPLASTICA, PEAD, GEOMEMBRANA LISA, E = 0,80 MM (NBR 15352)']",['Barreiras de Proteção']
manta termoplastica pead geomembrana lisa e 0 75 mm nbr 15352,2,"['MANTA TERMOPLASTICA, PEAD, GEOMEMBRANA LISA, E = 0,75 MM ( NBR 15352)', 'MANTA TERMOPLASTICA, PEAD, GEOMEMBRANA LISA, E = 0,75 MM (NBR 15352)']",['Barreiras de Proteção']
manta termoplastica pead geomembrana lisa e 0 50 mm nbr 15352,2,"['MANTA TERMOPLASTICA, PEAD, GEOMEMBRANA LISA, E = 0,50 MM  ( NBR 15352)', 'MANTA TERMOPLASTICA, PEAD, GEOMEMBRANA LISA, E = 0,50 MM ( NBR 15352)']",['Barreiras de Proteção']
luva simples dn50mm de pvc rigido serie normal conforme nbr 5688,2,"['Luva Simples, DN50mm, de PVC Rígido Série Normal, conforme NBR 5688']","['Sanitário', 'Água Fria']"
luva pvc soldavel 32mm,2,"['Luva PVC Soldável 32mm', 'Luva PVC soldável 32mm']",['Canos e Conexões Hidráulicas']
luminaria quadrada embutida corpo em aluminio com acabamento em pintura eletrostatica epoxi branca difusor em acrilico translucido driver incorporado 127 230v temperatura de cor 4000k para lampada 24w fluxo luminoso 1680 lm medida aproximada em mm,2,"['Luminária quadrada embutida, corpo em alumínio com acabamento em pintura eletrostática epóxi branca, difusor em acrílico translúcido, driver incorporado 127-230V, temperatura de cor 4000K. Para lâmpada 24W. Fluxo luminoso 1680 LM. Medida aproximada em mm:']",['Lâmpadas']
caixa de passagem alvenaria 50x50x80,2,['Caixa de passagem alvenaria 50x50x80'],['Quadros e Caixas Elétricas']
caixa de passagem 400 x 400 x 800mm em concreto com tampa de ferro fundido,2,['CAIXA DE PASSAGEM 400 X 400 X 800MM EM CONCRETO COM TAMPA DE FERRO FUNDIDO'],['Artefatos de Concreto']
microesferas de vidro para sinalizacao horizontal viaria tipo ii a drop on nbr 16184,2,"['MICROESFERAS DE VIDRO PARA SINALIZACAO HORIZONTAL VIARIA, TIPO II-A (DROP-ON) - NBR  16184', 'MICROESFERAS DE VIDRO PARA SINALIZACAO HORIZONTAL VIARIA, TIPO II-A (DROP-ON) - NBR 16184']",['Construção Civil']
microesferas de vidro para sinalizacao horizontal viaria tipo i b premix nbr 16184,2,"['MICROESFERAS DE VIDRO PARA SINALIZACAO HORIZONTAL VIARIA, TIPO I-B (PREMIX) - NBR  16184', 'MICROESFERAS DE VIDRO PARA SINALIZACAO HORIZONTAL VIARIA, TIPO I-B (PREMIX) - NBR 16184']",['Construção Civil']
metacaulim de alta reatividade caulim calcinado,2,['METACAULIM DE ALTA REATIVIDADE/CAULIM CALCINADO'],['Minerais']
meio fio ou guia de concreto pre moldado 10x12x30x100,2,['Meio fio ou guia de concreto pré-moldado 10x12x30x100.'],['Artefatos de Concreto']
mecanismo entrada caixa acoplada,2,['MECANISMO ENTRADA CAIXA ACOPLADA'],['Kits para Banheiro']
material esquadrias sala dormitorio,2,['Material Esquadrias Sala/Dormitório'],"['Outros - Materiais de Construção', 'Portas e esquadrias']"
material esquadrias banheiro,2,['Material Esquadrias Banheiro'],"['Outros - Materiais de Construção', 'Portas e esquadrias']"
materiais eletricos e eletronicos,2,['Materiais elétricos e eletrônicos'],['Cabos e Fios Elétricos']
massa corrida suvinil balde 25kg,2,['MASSA CORRIDA SUVINIL BALDE 25KG'],['Massa Corrida e Niveladora']
massa corrida pva para paredes internas,2,['MASSA CORRIDA PVA PARA PAREDES INTERNAS'],['Massa Corrida e Niveladora']
massa corrida pva liso embalagem contendo 18 litros,2,['Massa corrida PVA liso embalagem contendo 18 litros'],['Massa Corrida e Niveladora']
massa corrida decore balde 25kg,2,['MASSA CORRIDA DECORE BALDE 25KG'],['Massa Corrida e Niveladora']
massa acrilica branco balde 25kg,2,['MASSA ACRILICA BRANCO BALDE 25KG'],['Massa Acrílica']
martelo de unha 27mm,2,['Martelo de unha 27mm'],['Ferramentas Manuais']
painel bt qcm poco com inversor 16a 220v 3f,2,['PAINEL BT QCM POCO COM INVERSOR 16A-220V 3F'],['Outros - Materiais Elétricos']
obturador universal saida agua,2,['OBTURADOR UNIVERSAL SAIDA AGUA'],['Acessórios para Banheiro']
multimetro c alicate amperimetro,2,['MULTÍMETRO C/ ALICATE AMPERÍMETRO'],['Ferramentas Manuais']
mourao de concreto reto 10 x 10 cm h 2 00 m,2,"['MOURAO DE CONCRETO RETO, 10 X 10 CM, H= 2,00 M', 'Mourão de concreto reto, 10 x 10 cm, H = 2,00 m']",['Artefatos de Concreto']
modulo interruptor simples branco,2,['Módulo interruptor simples branco'],"['Tomadas, interruptores e plugues']"
modulo interruptor paralelo hotel branco,2,"['Módulo interruptor paralelo (Hotel) branco', 'Módulo interruptor paralelo (hotel) branco']","['Tomadas, interruptores e plugues']"
modulo de tomada 2p t20 a de encaixe em pvc na cor branco liso deve ser compativel com conjunto placa suporte compativel com a marca pezzi linha 50 000,2,"['Módulo de tomada 2P+T20 a de encaixe, em PVC, na cor branco liso. Deve ser compatível com conjunto placa + suporte. Compatível com a marca Pezzi, linha 50.000']","['Tomadas, interruptores e plugues']"
modulo de interruptor simples de encaixe em pvc na cor branco liso deve ser compativel com conjunto placa suporte compativel com a marca pezzi linha 50 000,2,"['Módulo de interruptor simples de encaixe, em PVC, na cor branco liso. Deve ser compatível com conjunto placa + suporte. Compatível com a marca Pezzi, linha 50.000']","['Tomadas, interruptores e plugues']"
modulo de interruptor paralelo de encaixe em pvc na cor branco liso deve ser compativel com conjunto placa suporte compativel com a marca pezzi linha 50 000,2,"['Módulo de interruptor paralelo de encaixe, em PVC, na cor branco liso. Deve ser compatível com conjunto placa + suporte. Compatível com a marca Pezzi, linha 50.000']","['Tomadas, interruptores e plugues']"
modulo cego de encaixe em pvc na cor branco liso deve ser compativel com conjunto placa suporte compativel com a marca pezzi linha 50 000,2,"['Módulo cego de encaixe, em PVC, na cor branco liso. Deve ser compatível com conjunto placa + suporte. Compatível com a marca Pezzi, linha 50.000']","['Tomadas, interruptores e plugues']"
calha canaleta de concreto simples tipo meia cana diametro de 30 cm para agua pluvial,2,"['CALHA/CANALETA DE CONCRETO SIMPLES, TIPO MEIA CANA, DIAMETRO DE 30 CM, PARA AGUA PLUVIAL']","['Artefatos de Concreto', 'Tijolos e Blocos Estruturais']"
calca masculina brim sarja,2,['CALÇA MASCULINA brim sarja'],['EPI: Equipamentos Proteção Individual']
cal hidratado extra saco 20kg,2,['CAL HIDRATADO EXTRA SACO 20KG'],"['Areia, Pedra Brita, Gesso, Cal e Argila']"
caixa sifonada girafacil montada com grelha e porta grelha quadrados brancos 100x140x50mm 5 entradas esgoto,2,"['Caixa Sifonada Girafácil Montada com Grelha e Porta Grelha Quadrados Brancos 100x140x50mm, 5 Entradas, Esgoto']","['Outros - Banheiros', 'Sanitário']"
caixa de passagem em concreto pre moldado quadrada com fundo de dimensao 0 80x0 80x0 80 m inclusive tampa de concreto,2,"['CAIXA DE PASSAGEM EM CONCRETO PRÉ-MOLDADO, QUADRADA, COM FUNDO, DE DIMENSÃO (0,80X0,80X0,80) M, INCLUSIVE TAMPA DE CONCRETO']",['Artefatos de Concreto']
caixa de passagem eletrica de parede de sobrepor em termoplastico pvc com tampa aparafusada dimensoes 150 x 150 x 100 mm,2,"['CAIXA DE PASSAGEM ELETRICA DE PAREDE, DE SOBREPOR, EM TERMOPLASTICO / PVC, COM TAMPA APARAFUSADA, DIMENSOES, 150 X 150 X *100* MM']",['Quadros e Caixas Elétricas']
pas de areia grossa,2,['pás de areia grossa'],"['Areia, Pedra Brita, Gesso, Cal e Argila']"
parede com placas de gesso acartonado drywall,2,['PAREDE COM PLACAS DE GESSO ACARTONADO (DRYWALL)'],['Gesso e Drywall']
parafuso maquina tipo cap screw,2,['Parafuso máquina tipo cap screw'],['Parafusos e acessórios']
parafuso m16 em aco galvanizado comprimento 300 mm diametro 16 mm rosca maquina cabeca quadrada,2,"['PARAFUSO M16 EM ACO GALVANIZADO, COMPRIMENTO = 300 MM, DIAMETRO = 16 MM, ROSCA MAQUINA, CABECA QUADRADA']",['Ferragens para Fixar e Montar']
parafuso m16 em aco galvanizado comprimento 300 mm diametro 16 mm rosca dupla,2,"['PARAFUSO M16 EM ACO GALVANIZADO, COMPRIMENTO = 300 MM, DIAMETRO = 16 MM, ROSCA DUPLA', 'PARAFUSO M16 EM AÇO GALVANIZADO, COMPRIMENTO = 300 MM, DIÂMETRO = 16 MM, ROSCA DUPLA']",['Ferragens para Fixar e Montar']
parafuso m16 em aco galvanizado comprimento 250 mm diametro 16 mm rosca maquina cabeca quadrada,2,"['PARAFUSO M16 EM ACO GALVANIZADO, COMPRIMENTO = 250 MM, DIAMETRO = 16 MM, ROSCA MAQUINA, CABECA QUADRADA']",['Ferragens para Fixar e Montar']
parafuso estojo,2,['Parafuso estojo'],['Parafusos e acessórios']
parafuso chipboard phillips 6mm,2,"['Parafuso chipboard phillips, 6mm.']",['Parafusos e acessórios']
parafuso chipboard cabeca chata philips 4 5x35mm,2,"['Parafuso chipboard cabeça chata philips 4,5x35mm.']",['Parafusos e acessórios']
parafuso cabeca panela com phillips,2,['Parafuso Cabeça Panela com Phillips'],['Parafusos e acessórios']
parafuso cabeca lentilha com fenda,2,"['Parafuso cabeça Lentilha com fenda', 'Parafuso cabeça lentilha com fenda']",['Parafusos e acessórios']
parafuso cabeca lentilha,2,['PARAFUSO CABEÇA LENTILHA'],['Parafusos e acessórios']
