y_true	y_pred	pred_confidence
Parafusos e acessórios	Ferragens para Fixar e Montar	0.009477849104314016
Ferramentas de Medição	Ferramentas Manuais	0.05181768754875551
Artefatos de Concreto	Poste de Concreto	0.019643780818318572
Painéis Fotovoltaicos	Água Quente	0.00620707905477877
Tomadas, interruptores e plugues	Outros - Materiais Hidráulicos	0.005649499261831484
Outros - Ferragens	Acessórios de Portas e Janelas	0.0033561773984042286
Aquecedores de Água	Abajures	0.0029673590504451044
Disjuntores e Fusíveis	Proteções Elétricas	0.016144792273838516
Tomadas, interruptores e plugues	Artefatos de Concreto	0.015236327091484248
Tubos e conexões	Cabos Elétricos	0.006219169434713056
Tomadas, interruptores e plugues	Canos e Conexões Hidráulicas	0.16189978477398229
Outros - Ferragens	Outros - Materiais Elétricos	0.0067797211701783495
Outros - Iluminação	Lâmpadas	0.005616557162780281
Adesivos e Selantes	Adesivos e Colas	0.013256078175844928
Revestimentos	Verniz e Solvente	0.04771552999554564
Chapas INOX	Calhas, Rufos e Algerosas	0.009763512620249517
Tomadas, interruptores e plugues	Artefatos de Concreto	0.009958667169089988
EPI: Equipamentos Proteção Individual	Construção Civil	0.05405222975299683
Verniz e Solvente	EPI: Equipamentos Proteção Individual	0.019916613858569864
Suporte para iluminação em poste	Luminárias	0.008262838326633005
Tomadas, interruptores e plugues	Para Raios e SPDA	0.038367518196489155
Acessórios para telhado	Calhas, Rufos e Algerosas	0.013501536472822559
Eletrocalhas	Tubos e conexões industriais	0.030368770013751246
Medição e instrumentação	maquinas pesadas	0.004734435581984122
Outros - Materiais Elétricos	Tubos e Eletrodutos	0.05387338971129246
Artefatos de Concreto	Sanitário	0.06178494401119266
Cadeiras	Artefatos de Concreto	0.011254921701202805
Outros - Materiais de Construção	Adesivos e Colas	0.004279174263011375
Equipamentos para Gases Medicinais	Tubos e conexões para Gases Medicinais	0.008274634637004273
Tubos e Eletrodutos	Tomadas, interruptores e plugues	0.005624919165605449
Pias e Bancadas em Mármore	Tomadas, interruptores e plugues	0.020661051804669223
Gesso e Drywall	Perfis para Steel Frame	0.006364011005347454
Outros - Materiais Elétricos	Ferramentas Manuais	0.010515247237445614
Tubos e conexões para Gases Medicinais	Sanitário	0.05053734104409087
Outros - Ferragens	Perfis e chapas em aço carbono	0.004469237568690314
Tubos e conexões industriais	Canos e Conexões Hidráulicas	0.15476811042080943
Tomadas, interruptores e plugues	Transportes	0.009853639263449438
Canos e Conexões Hidráulicas	Água Fria	0.04794580901119594
