	precision	recall	f1-score	support
Para Raios e SPDA	0.8260869565217391	0.8260869565217391	0.8260869565217391	23.0
Parafusos e acessórios	0.9787234042553191	0.9583333333333334	0.968421052631579	48.0
Perfis e chapas em aço carbono	0.8181818181818182	0.9	0.8571428571428571	20.0
Pias e Lavatórios	0.75	0.75	0.75	4.0
Pincéis, Rolos e Acessórios	1.0	0.5	0.6666666666666666	2.0
Piso Elevado	1.0	1.0	1.0	2.0
Pisos Cerâmicos	0.75	1.0	0.8571428571428571	3.0
Pisos Laminados	1.0	1.0	1.0	2.0
Placa de obra	0.4	1.0	0.5714285714285714	2.0
Porcelanatos	0.5	0.6666666666666666	0.5714285714285714	3.0
Portas e esquadrias	1.0	1.0	1.0	10.0
Poste Metálico	0.8666666666666667	0.8125	0.8387096774193549	16.0
Poste de Concreto	0.94	0.9791666666666666	0.9591836734693877	48.0
Poste de madeira	0.6666666666666666	1.0	0.8	2.0
Produtos para Limpeza	0.75	0.6	0.6666666666666666	10.0
Proteções Elétricas	0.9310344827586207	0.9473684210526315	0.9391304347826087	57.0
Pré-moldados	0.6666666666666666	1.0	0.8	2.0
Quadros e Caixas Elétricas	0.8	0.8	0.8	20.0
Ralos e Grelhas	0.6666666666666666	0.3333333333333333	0.4444444444444444	6.0
Refletores	0.8181818181818182	0.9	0.8571428571428571	10.0
Registros e Bases	0.7857142857142857	0.8461538461538461	0.8148148148148148	13.0
Revestimentos Externos	1.0	1.0	1.0	3.0
Rodapés	1.0	1.0	1.0	4.0
Sanitário	0.8888888888888888	0.8	0.8421052631578947	10.0
Serviços Mecânicos	1.0	0.5	0.6666666666666666	2.0
Sinalização, Letras e Números	0.5	0.6666666666666666	0.5714285714285714	3.0
Sistemas	1.0	1.0	1.0	6.0
Subestações e Alta Tensão	0.7777777777777778	0.875	0.8235294117647058	8.0
Tela, cerca e gabião em aço	0.8571428571428571	0.75	0.8	8.0
Telhas	0.8333333333333334	0.9523809523809523	0.8888888888888888	21.0
Tijolos e Blocos Estruturais	0.8	0.8888888888888888	0.8421052631578947	9.0
Tintas	0.9047619047619048	1.0	0.95	19.0
Tomadas, interruptores e plugues	0.918918918918919	1.0	0.9577464788732394	34.0
Torneiras	1.0	1.0	1.0	5.0
Transformadores de Energia	0.8484848484848485	1.0	0.9180327868852459	28.0
Transportes	1.0	0.8888888888888888	0.9411764705882353	9.0
Tubos e Eletrodutos	0.9523809523809523	0.975609756097561	0.963855421686747	41.0
Tubos e conexões	0.5	0.5	0.5	2.0
Tubos e conexões industriais	0.8823529411764706	0.75	0.8108108108108109	20.0
Usina de Asfalto	1.0	1.0	1.0	3.0
Vegetação	0.0	0.0	0.0	2.0
Verniz e Solvente	0.7142857142857143	0.7142857142857143	0.7142857142857143	7.0
Vidros	1.0	1.0	1.0	7.0
maquinas pesadas	0.75	0.6	0.6666666666666666	5.0
Água Fria	0.9473684210526315	0.9473684210526315	0.9473684210526315	19.0
accuracy	0.8940886699507389	0.8940886699507389	0.8940886699507389	0.8940886699507389
macro avg	0.8433340562134322	0.8106035188302224	0.8127924277236481	1624.0
weighted avg	0.8961240685767051	0.8940886699507389	0.8904280545704386	1624.0
