y_true	y_pred	pred_confidence
Tubos e Eletrodutos	Água Quente	0.0394672321185851
Cabos e Fios Elétricos	Cabos Elétricos	0.12784481042672288
Tubos e Eletrodutos	Canos e Conexões Hidráulicas	0.14137758540594308
Tubos e Eletrodutos	Canos e Conexões Hidráulicas	0.1419620499138275
Água Fria	Canos e Conexões Hidráulicas	0.22236299252243968
Outros - Materiais Hidráulicos	Cabos Elétricos	0.04837783825220905
Dutos e conexões PEAD	Canos e Conexões Hidráulicas	0.23615397692491202
Registros e Bases	Água Fria	0.6094643834272049
Canos e Conexões Hidráulicas	Sanitário	0.968498362961356
Anéis de Vedação	Tomadas, interruptores e plugues	0.058262292687574053
Outros - Materiais Hidráulicos	Tomadas, interruptores e plugues	0.13320055846750228
Cabos e Fios Elétricos	Cabos Elétricos	0.11213319016300138
Água Fria	Canos e Conexões Hidráulicas	0.20619282297983654
Disjuntores e Fusíveis	Proteções Elétricas	0.11892993101180006
Tomadas, interruptores e plugues	Quadros e Caixas Elétricas	0.057241422438803306
Sanitário	Ralos e Grelhas	0.09917437356451729
Cabos e Fios Elétricos	Cabos Elétricos	0.535838191911883
Proteções Elétricas	Tomadas, interruptores e plugues	0.5918309730075866
Tubos e Eletrodutos	Tomadas, interruptores e plugues	0.04534799104538581
Eletrocalhas	Infraestrutura	0.14550733919964023
Canos e Conexões Hidráulicas	Sanitário	0.47197247855765745
Cabos e Fios Elétricos	Sanitário	0.12453157279781846
Quadros e Caixas Elétricas	Proteções Elétricas	0.3103735665738434
Tomadas, interruptores e plugues	Sanitário	0.06710701969968293
Outros - Materiais Elétricos	Tubos e Eletrodutos	0.036038446727598976
Canos e Conexões Hidráulicas	Outros - Materiais Hidráulicos	0.08161669695357965
Condutos	Quadros e Caixas Elétricas	0.07296974630559809
Cabos e Fios Elétricos	Proteções Elétricas	0.04703891220724358
Água Fria	Canos e Conexões Hidráulicas	0.20226226881536055
Tomadas, interruptores e plugues	Outros - Materiais Hidráulicos	0.14258243294063175
Cabos e Fios Elétricos	Cabos Elétricos	0.21270162170820062
Acessórios e Conexões Elétricas	Proteções Elétricas	0.05323807466274522
Sanitário	Canos e Conexões Hidráulicas	0.338698568578759
Dutos e conexões PEAD	Canos e Conexões Hidráulicas	0.05751858837862124
Outros - Materiais Elétricos	Tomadas, interruptores e plugues	0.04770575731165982
Outros - Materiais Elétricos	Acessórios e Conexões Elétricas	0.03496103662631493
Tubos e Eletrodutos	Canos e Conexões Hidráulicas	0.8875602772021037
Outros - Materiais Hidráulicos	Infraestrutura	0.027936268471103306
Eletricista	Tubos e Eletrodutos	0.05170406794559879
Para Raios e SPDA	Tubos e Eletrodutos	0.033331256435781324
Sanitário	Ralos e Grelhas	0.1396169415642641
Tubos e Eletrodutos	Canos e Conexões Hidráulicas	0.5960533719797689
Outros Elétricos	Cabos Elétricos	0.029495859893230964
Para Raios e SPDA	Cabos e Fios Elétricos	0.11630845809446294
Quadros e Caixas Elétricas	Tomadas, interruptores e plugues	0.04889824231606522
Outros Elétricos	Estabilizadores	0.0284946903052307
Canos e Conexões Hidráulicas	Tubos e Eletrodutos	0.15644137433956312
Quadros e Caixas Elétricas	Tubos e Eletrodutos	0.05790625079524686
Cabos e Fios Elétricos	Cabos Elétricos	0.21511502890956485
Anéis de Vedação	Tomadas, interruptores e plugues	0.05694437875873233
Cabos e Fios Elétricos	Proteções Elétricas	0.03921653387210007
Tomadas, interruptores e plugues	Tubos e Eletrodutos	0.1563471924326013
Sanitário	Canos e Conexões Hidráulicas	0.21320610575701607
Sanitário	Ralos e Grelhas	0.09917437356451729
Infraestrutura	Transformadores de Energia	0.03532360248144651
Outros - Materiais Hidráulicos	Tubos e Eletrodutos	0.09895851421382297
Outros - Materiais Elétricos	Para Raios e SPDA	0.10127926414434417
Caixas de Esgoto	Quadros e Caixas Elétricas	0.11473583358679272
Cabos e Fios Elétricos	Cabos Elétricos	0.04935058783240165
Cabos Elétricos	Acessórios e Conexões Elétricas	0.04355977481050947
Outros - Materiais Elétricos	Proteções Elétricas	0.04179853269223003
Infraestrutura	Tomadas, interruptores e plugues	0.8762518142619489
Registros e Bases	Torneiras	0.044064981555663775
Tomadas, interruptores e plugues	Infraestrutura	0.06326187801388974
Cabos e Fios Elétricos	Cabos Elétricos	0.8760212150616531
Anéis de Vedação	Infraestrutura	0.03370508894153793
Cabos e Fios Elétricos	Cabos Elétricos	0.6832659448399662
Água Fria	Canos e Conexões Hidráulicas	0.1071608197743765
Plugs e Adaptadores	Água Fria	0.04390903823154479
Cabos e Fios Elétricos	Cabos Elétricos	0.5245549648641756
Água Fria	Canos e Conexões Hidráulicas	0.2714552227043658
Canos e Conexões Hidráulicas	Tubos e Eletrodutos	0.6149093255137618
Cabos e Fios Elétricos	Torneiras	0.07017964073689596
Subestações e Alta Tensão	Proteções Elétricas	0.032096265879275415
Anéis de Vedação	Acessórios e Conexões Elétricas	0.02644700027115204
Medição e instrumentação	Registros e Bases	0.04358029336309359
Acessórios e Conexões Elétricas	Subestações e Alta Tensão	0.03206247344335562
Tomadas, interruptores e plugues	Canos e Conexões Hidráulicas	0.20835139465928182
Tomadas, interruptores e plugues	Sanitário	0.030209769660569662
Outros - Materiais Hidráulicos	Canos e Conexões Hidráulicas	0.3818143015887419
Água Fria	Registros e Bases	0.03281467782081768
Anéis de Vedação	Canos e Conexões Hidráulicas	0.06107518334045488
Tomadas, interruptores e plugues	Canos e Conexões Hidráulicas	0.08328128304290391
Eletrocalhas	Infraestrutura	0.04343130499191609
Cabos e Fios Elétricos	Infraestrutura	0.05352957808318222
Tomadas, interruptores e plugues	Tubos e Eletrodutos	0.06389193775409048
Canos e Conexões Hidráulicas	Anéis de Vedação	0.20363290329127792
Infraestrutura	Tubos e Eletrodutos	0.07576419315525217
Para Raios e SPDA	Infraestrutura	0.07613541873383547
Cabos e Fios Elétricos	Sanitário	0.12056890871403755
Subestações e Alta Tensão	Tomadas, interruptores e plugues	0.055902767353188346
Tubos e Eletrodutos	Anéis de Vedação	0.05027821171666811
Tomadas, interruptores e plugues	Canos e Conexões Hidráulicas	0.4312752049672809
Registros e Bases	Proteções Elétricas	0.028358307190392482
Disjuntores e Fusíveis	Proteções Elétricas	0.12746621284813744
Outros - Materiais Hidráulicos	Sanitário	0.22605920652328668
Outros - Materiais Hidráulicos	Eletrocalhas	0.05414789842126331
Tubos e Eletrodutos	Quadros e Caixas Elétricas	0.0723105438560141
Dutos e conexões PEAD	Canos e Conexões Hidráulicas	0.05760661286451181
