label	precision	recall	f1_score	support
Outros - Madeiras	0.0	0.0	0.0	3.0
Outros - Materiais Elétricos	0.7142857142857143	0.5	0.5882352941176471	10.0
Outros - Materiais Hidráulicos	0.5	0.3076923076923077	0.38095238095238093	13.0
Outros - Materiais de Construção	0.2857142857142857	0.13333333333333333	0.18181818181818182	15.0
Outros - Pavimentação	0.0	0.0	0.0	2.0
Outros - Pisos e Revestimentos	1.0	0.75	0.8571428571428571	4.0
Outros - Tintas e Acessórios	0.0	0.0	0.0	2.0
Outros Elétricos	0.0	0.0	0.0	2.0
Painéis Fotovoltaicos	0.0	0.0	0.0	1.0
Para Raios e SPDA	0.6333333333333333	0.76	0.6909090909090909	25.0
Parafusos e acessórios	0.7419354838709677	0.7931034482758621	0.7666666666666667	29.0
Pavimentaço	0.5	1.0	0.6666666666666666	2.0
Perfis e chapas em aço carbono	0.6	0.72	0.6545454545454545	25.0
Perfis para Steel Frame	0.5	0.3333333333333333	0.4	3.0
Pias e Bancadas em Mármore	0.0	0.0	0.0	1.0
Pias e Cubas de Cozinha	1.0	0.5	0.6666666666666666	2.0
Pias e Lavatórios	0.8	1.0	0.8888888888888888	4.0
Pincéis, Rolos e Acessórios	0.6666666666666666	0.6666666666666666	0.6666666666666666	3.0
Piso Elevado	0.75	1.0	0.8571428571428571	3.0
Pisos	0.0	0.0	0.0	1.0
Pisos Cerâmicos	0.7142857142857143	1.0	0.8333333333333334	5.0
Pisos Laminados	1.0	1.0	1.0	2.0
Pisos Vinílicos	0.0	0.0	0.0	1.0
Pisos de Borracha	1.0	1.0	1.0	1.0
Pisos de concreto	1.0	1.0	1.0	1.0
Placa de obra	1.0	0.5	0.6666666666666666	2.0
Placas de sinalização de segurança	1.0	1.0	1.0	1.0
Placas e forros minerais	0.0	0.0	0.0	1.0
Plataformas de acessibilidade	0.0	0.0	0.0	1.0
Plugs e Adaptadores	1.0	0.4	0.5714285714285714	5.0
Polias e rolamentos	1.0	1.0	1.0	1.0
Porcelanatos	0.6	0.6	0.6	5.0
Portas corta fogo	0.25	1.0	0.4	1.0
Portas e esquadrias	0.8888888888888888	0.7272727272727273	0.8	11.0
Portões	0.0	0.0	0.0	1.0
Poste Metálico	0.72	0.9473684210526315	0.8181818181818182	19.0
Poste de Concreto	0.6857142857142857	0.9411764705882353	0.7933884297520661	51.0
Poste de fibra de vidro	1.0	1.0	1.0	1.0
Poste de madeira	1.0	0.3333333333333333	0.5	3.0
Postes de Jardim	0.0	0.0	0.0	1.0
Pressurizadores de Água	1.0	1.0	1.0	2.0
Produtos para Aplicação e Acabamento	1.0	1.0	1.0	1.0
Produtos para Limpeza	0.8	0.4	0.5333333333333333	10.0
Produtos para Madeira	0.8888888888888888	1.0	0.9411764705882353	8.0
Produtos para Área de Serviço	0.0	0.0	0.0	1.0
Proteções Elétricas	0.8673469387755102	1.0	0.9289617486338798	85.0
Pré-Moldados	0.0	0.0	0.0	1.0
Pré-moldados	1.0	0.5	0.6666666666666666	2.0
Puxadores	1.0	0.5	0.6666666666666666	2.0
Quadros e Caixas Elétricas	0.76	0.76	0.76	25.0
Ralos e Grelhas	0.8571428571428571	1.0	0.9230769230769231	6.0
Rede de hidrantes	1.0	1.0	1.0	1.0
Refletores	0.7692307692307693	0.9090909090909091	0.8333333333333334	11.0
Registros e Bases	1.0	0.9375	0.967741935483871	16.0
Resistências Elétricas	1.0	1.0	1.0	1.0
Revestimentos	0.0	0.0	0.0	2.0
Revestimentos Externos	0.6666666666666666	0.6666666666666666	0.6666666666666666	3.0
Revestimentos Internos	0.5	0.5	0.5	2.0
Rodapés	0.75	1.0	0.8571428571428571	6.0
Rodízios, Pés para Móveis e Eletrodomésticos	1.0	1.0	1.0	1.0
Sacos de Entulho	0.0	0.0	0.0	1.0
Sanitário	0.7583892617449665	0.9495798319327731	0.8432835820895522	119.0
Seladores e Fundos	0.0	0.0	0.0	1.0
Serviços Mecânicos	0.3333333333333333	0.5	0.4	2.0
Sifão para Pia	1.0	1.0	1.0	1.0
Sinalização, Letras e Números	1.0	0.6666666666666666	0.8	3.0
Sistemas	1.0	1.0	1.0	6.0
Solventes e Removedores	1.0	1.0	1.0	2.0
String Box	0.5	1.0	0.6666666666666666	1.0
Subestações e Alta Tensão	0.42857142857142855	0.375	0.4	8.0
Suporte e Fixação	0.0	0.0	0.0	1.0
Suporte para iluminação em poste	0.0	0.0	0.0	1.0
Suportes	1.0	1.0	1.0	1.0
Tampões e Grelhas	0.0	0.0	0.0	2.0
Tela, cerca e gabião em aço	0.8	0.4444444444444444	0.5714285714285714	9.0
Telhas	0.6774193548387096	0.9130434782608695	0.7777777777777778	23.0
Terra vegetal (substrato)	1.0	1.0	1.0	1.0
Terraplenagem	0.0	0.0	0.0	1.0
Textura de Parede	1.0	1.0	1.0	1.0
Tijolos e Blocos Estruturais	0.6666666666666666	0.625	0.6451612903225806	16.0
Todos os Pisos	0.0	0.0	0.0	1.0
Tomadas e Interruptores Específicos	0.0	0.0	0.0	1.0
Tomadas, interruptores e plugues	0.753968253968254	0.6129032258064516	0.6761565836298933	155.0
Torneiras	0.875	1.0	0.9333333333333333	7.0
Torneiras para Banheiro	0.0	0.0	0.0	1.0
Torneiras para Cozinha	0.0	0.0	0.0	1.0
Transformadores de Energia	0.8709677419354839	0.9	0.8852459016393442	30.0
Transporte Vertical	0.3333333333333333	1.0	0.5	1.0
Transportes	0.75	0.8181818181818182	0.782608695652174	11.0
Tubos e Eletrodutos	0.9444444444444444	0.864406779661017	0.9026548672566371	59.0
Tubos e conexões	0.5	0.25	0.3333333333333333	4.0
Tubos e conexões industriais	0.6818181818181818	0.6	0.6382978723404256	25.0
Tubos e conexões para Gases Medicinais	0.75	0.21428571428571427	0.3333333333333333	14.0
Tubulação Defofo	1.0	1.0	1.0	1.0
Usina de Asfalto	0.3333333333333333	0.25	0.2857142857142857	4.0
Usina de Solo	0.0	0.0	0.0	1.0
Utilidades Domésticas	0.0	0.0	0.0	1.0
Vasos Sanitários	0.0	0.0	0.0	1.0
Vedação e Impermeabilização	1.0	1.0	1.0	2.0
Vegetação	1.0	0.3333333333333333	0.5	3.0
Verniz e Solvente	0.7959183673469388	0.9069767441860465	0.8478260869565217	43.0
Veículos de transporte	0.0	0.0	0.0	1.0
Vibroacabadoras	0.0	0.0	0.0	1.0
Vidros	0.8888888888888888	1.0	0.9411764705882353	8.0
Vidros para Sacadas	1.0	1.0	1.0	2.0
Vigas e perfis metálicos	0.0	0.0	0.0	0.0
maquinas pesadas	0.7142857142857143	1.0	0.8333333333333334	5.0
Água Fria	0.6875	0.44	0.5365853658536586	25.0
Água Quente	0.8	0.5714285714285714	0.6666666666666666	7.0
macro avg	0.5675303554015185	0.5463671734182273	0.538331448357689	2795.0
weighted avg	0.7455967797847148	0.7592128801431127	0.7390023313038034	2795.0
